file_count,pass_type,run,elapsed_ms
10,first_pass,1,118
10,first_pass,2,143
10,first_pass,3,108
10,second_pass,1,111
10,second_pass,2,108
10,second_pass,3,107
25,first_pass,1,249
25,first_pass,2,262
25,first_pass,3,271
25,second_pass,1,248
25,second_pass,2,293
25,second_pass,3,243
50,first_pass,1,513
50,first_pass,2,482
50,first_pass,3,509
50,second_pass,1,472
50,second_pass,2,492
50,second_pass,3,494
100,first_pass,1,997
100,first_pass,2,935
100,first_pass,3,957
100,second_pass,1,935
100,second_pass,2,939
100,second_pass,3,924
200,first_pass,1,1899
200,first_pass,2,1849
200,first_pass,3,1858
200,second_pass,1,1845
200,second_pass,2,1903
200,second_pass,3,1868
